state_id,state_name,mandi_id,mandi_name,first_enam_trade_date
32,HARYANA,110,GHARAUNDA,2018-10-01
32,HARYANA,999,FEROZPUR JHIRKA APMC,2020-05-01
32,HARYANA,128,GOHANA,2018-10-01
32,HARYANA,360,GURGAON,2018-10-01
32,HARYANA,131,HANSI,2018-10-01
32,HARYANA,363,HODAL,2018-10-01
32,HARYANA,3946,HATHIN,2022-06-01
32,HARYANA,3945,HASSANPUR,2022-06-01
32,HARYANA,295,INDRI,2018-10-01
32,HARYANA,1000,HISAR APMC,2020-05-01
32,HARYANA,124,ISMAILABAD,2018-10-01
32,HARYANA,1001,ISRANA APMC,2020-05-01
32,HARYANA,361,JHAJJAR,2018-10-01
32,HARYANA,433,JAKHAL,2018-10-01
32,HARYANA,1002,JAGADHRI APMC,2020-05-01
32,HARYANA,114,JULANA,2018-10-01
32,HARYANA,120,JIND,2018-10-01
32,HARYANA,3947,JUI,2022-06-01
32,HARYANA,108,KAITHAL,2018-10-01
32,HARYANA,3948,JUNDLA,2022-06-01
32,HARYANA,365,KALAYAT,2018-10-01
32,HARYANA,123,KALANWALI,2018-10-01
32,HARYANA,53,KARNAL,2018-10-01
32,HARYANA,1003,KANINA APMC,2020-05-01
32,HARYANA,3951,KHARKHODA,2022-06-01
32,HARYANA,1004,KOSLI APMC,2020-05-01
32,HARYANA,122,LADWA,2018-10-01
32,HARYANA,3952,LOHARU,2022-06-01
32,HARYANA,117,MADLAUDA,2018-10-01
32,HARYANA,1006,MOHINDERGARH APMC,2020-05-01
32,HARYANA,1005,MEHAM APMC,2020-05-01
32,HARYANA,106,MULLANA,2018-11-01
32,HARYANA,3953,MOHNA,2022-06-01
32,HARYANA,1007,NARAINGARH APMC,2020-05-01
32,HARYANA,370,NARNAUND,2018-10-01
32,HARYANA,3954,MUSTAFABAD,2022-06-01
32,HARYANA,118,NARWANA,2018-10-01
32,HARYANA,1008,NARNAUL APMC,2020-05-01
32,HARYANA,111,NISSING,2018-10-01
32,HARYANA,1009,NIGDHU APMC,2020-05-01
32,HARYANA,1010,NILOKHERI APMC,2020-05-01
32,HARYANA,366,PALWAL,2018-10-01
32,HARYANA,1011,NUH APMC,2020-05-01
32,HARYANA,1012,PAI APMC,2020-05-01
32,HARYANA,113,PANIPAT,2018-10-01
32,HARYANA,1013,PANCHKULA APMC,2020-05-01
32,HARYANA,121,PEHOWA,2018-10-01
32,HARYANA,362,PILLUKHERA,2018-10-01
32,HARYANA,278,PUNDRI,2018-10-01
32,HARYANA,3955,PATAUDI,2022-06-01
32,HARYANA,1014,PIPLI APMC,2020-05-01
32,HARYANA,1016,RAIPUR RANI APMC,2020-05-01
32,HARYANA,279,RANIA,2018-10-01
32,HARYANA,3956,RADAUR,2022-06-01
32,HARYANA,1015,PUNHANA APMC,2020-05-01
32,HARYANA,130,RATIA,2018-10-01
32,HARYANA,109,REWARI,2018-10-01
32,HARYANA,107,ROHTAK,2018-10-01
32,HARYANA,1017,SADHAURA APMC,2020-05-01
32,HARYANA,116,SAFIDON,2018-10-01
32,HARYANA,115,SAMALKHA,2018-10-01
32,HARYANA,60,SHAHBAD,2018-10-01
32,HARYANA,3957,SAMPLA,2022-06-01
32,HARYANA,280,SIRSA,2018-10-01
32,HARYANA,1018,SHAHZADPUR APMC,2020-05-01
32,HARYANA,371,SIWANI,2018-10-01
32,HARYANA,3958,SIWAN,2022-06-01
32,HARYANA,126,SONEPAT,2018-10-01
32,HARYANA,127,TARAORI,2018-10-01
32,HARYANA,3959,SOHNA,2022-06-01
32,HARYANA,119,THANESAR,2018-10-01
32,HARYANA,281,TOHANA,2018-10-01
32,HARYANA,3960,TIGAON,2022-06-01
32,HARYANA,1019,TAURU APMC,2020-05-01
32,HARYANA,358,UCHANA,2018-10-01
32,HARYANA,3961,TOSHAM,2022-06-01
43,HIMACHAL PRADESH,375,BANDROL,2018-10-01
32,HARYANA,1020,UKLANA APMC,2020-05-01
32,HARYANA,1021,YAMUNA NAGAR APMC,2020-05-01
43,HIMACHAL PRADESH,3896,BAIJNATH,2022-06-01
43,HIMACHAL PRADESH,269,BHUNTAR,2018-10-01
43,HIMACHAL PRADESH,383,CHAMBA,2018-10-01
43,HIMACHAL PRADESH,273,BHATTAKUFAR DHALLI,2019-08-01
43,HIMACHAL PRADESH,3892,CHAILCHOWK,2022-06-01
43,HIMACHAL PRADESH,44,DHALLI SHIMLA,2018-10-01
43,HIMACHAL PRADESH,3894,DHANOTU,2022-06-01
43,HIMACHAL PRADESH,3895,DHARAMSHALA,2022-06-01
43,HIMACHAL PRADESH,380,HAMIRPUR,2018-10-01
43,HIMACHAL PRADESH,42,FRUIT MANDI SOLAN,2018-10-01
43,HIMACHAL PRADESH,377,KANGRA,2018-10-01
43,HIMACHAL PRADESH,379,MANDI,2018-10-01
43,HIMACHAL PRADESH,272,KANGRA JASSOUR,2018-10-01
43,HIMACHAL PRADESH,3893,KHARAPATHAR,2022-06-01
43,HIMACHAL PRADESH,378,PALAMPUR,2018-10-01
43,HIMACHAL PRADESH,374,PAONTA SAHIB,2018-10-01
43,HIMACHAL PRADESH,3889,MEHANDLI,2022-06-01
43,HIMACHAL PRADESH,373,PARALA,2018-10-01
43,HIMACHAL PRADESH,376,PATIKUHAL,2018-10-01
43,HIMACHAL PRADESH,372,ROHRU,2018-10-01
43,HIMACHAL PRADESH,382,SANTOSHGARH,2018-10-01
43,HIMACHAL PRADESH,271,TAKOLI,2018-10-01
43,HIMACHAL PRADESH,270,SOLAN PARWANOO,2018-10-01
43,HIMACHAL PRADESH,381,UNA,2018-10-01
43,HIMACHAL PRADESH,3891,TAPRI,2022-06-01
43,HIMACHAL PRADESH,5017,SMY NERWA ,2023-03-01
43,HIMACHAL PRADESH,5018,SMY NADAUN ,2023-03-01
43,HIMACHAL PRADESH,5019,SMY KULLU,2023-03-01
43,HIMACHAL PRADESH,5020,SMY SHAAT,2023-03-01
43,HIMACHAL PRADESH,5026,SMY WAKHNAGHAT,2023-03-01
43,HIMACHAL PRADESH,5021,SMY CHOURIBIHAL,2023-03-01
43,HIMACHAL PRADESH,5031,SMY DHARAMPUR,2023-03-01
43,HIMACHAL PRADESH,5032,SMY NAGROTA BAGWAN,2023-03-01
43,HIMACHAL PRADESH,5033,SMY TAKARLA,2023-03-01
43,HIMACHAL PRADESH,5035,SMY RAJGARH,2023-03-01
43,HIMACHAL PRADESH,5034,PMY NAHAN,2023-03-01
