Crop,Mean SD Pre,Mean SD Post,Change,% Change,N Pre (state-months),N Post (state-months)
Maize,282,672,390,138.5,81,24
Cotton,318,573,255,80.2,83,41
Potato,347,501,154,44.3,342,248
Tomato,578,804,226,39.0,269,239
Mustard,341,440,99,28.9,29,2
Onion,293,376,83,28.3,170,207
Rice,259,316,57,21.9,120,27
Paddy,226,80,-146,-64.7,209,17
Wheat,159,26,-133,-83.8,88,15
