Crop,Mean SD Pre,Mean SD Post,Change,% Change,N Pre (state-months),N Post (state-months)
Mustard,464,1148,684,147.3,71,70
Potato,225,306,80,35.7,251,343
Soybean,179,227,49,27.2,109,118
Tomato,409,517,109,26.6,250,343
Onion,323,395,72,22.4,250,343
Rice,750,825,75,10.0,234,271
Chana,438,475,38,8.6,87,114
Maize,244,251,7,2.8,302,295
Paddy,242,235,-7,-2.8,319,388
Wheat,276,244,-32,-11.4,204,174
Cotton,750,521,-230,-30.6,183,209
