rel_year,Estimate,Std. Error,2.5%,97.5%
-5,-0.04268768099343881,0.01781468623225667,-0.0776046164546576,-0.007770745532220014
-4,0.03962587879801426,0.0201985227610253,3.6603608779599284e-05,0.07921515398724893
-3,0.07380475283464832,0.017717054760859767,0.03907917588187055,0.1085303297874261
-2,0.04242729264157464,0.022450910922741735,-0.0015766823661649693,0.08643126764931425
-1,0.0,0.0,0.0,0.0
0,0.163159473492501,0.02697002794312051,0.11029799096062959,0.21602095602437243
1,0.14789498920968483,0.022099902284348605,0.10457899409748284,0.19121098432188682
2,0.2553061729432026,0.030164341892762004,0.19618380809387853,0.3144285377925267
3,0.27587152835351625,0.026254507176824923,0.224412472566196,0.3273305841408365
4,0.38544088175174884,0.03656690225942197,0.3137694445138001,0.45711231898969756
5,0.45412895434183426,0.03469343049517902,0.3861295375833729,0.5221283711002956
6,0.6063953215766557,0.04543112514494234,0.5173499326242419,0.6954407105290694
7,0.504725425359387,0.047370903487431094,0.4118780544741615,0.5975727962446126
8,0.5442736640805587,0.2576329989071733,0.03931081049778817,1.0492365176633291
