rel_year,Estimate,Std. Error,2.5%,97.5%
-5,0.09933118768190806,0.042349247200001605,0.016323314303511888,0.18233906106030423
-4,0.04977068130117894,0.05956594365449053,-0.06698327857880786,0.16652464118116572
-3,-0.07205794616271208,0.042277201983686424,-0.15492460521998547,0.010808712894561298
-2,-0.053405040287645755,0.08647786271359455,-0.2229084896468143,0.1160984090715228
-1,0.0,0.0,0.0,0.0
0,-0.12275245599732103,0.11373775546546633,-0.3456874507903349,0.10018253879569285
1,-0.08757223886431646,0.05615624123165449,-0.19764291236530065,0.02249843463666773
2,-0.29779757606927204,0.14357231876903825,-0.579210674175597,-0.016384477962947064
3,-0.24281240578076682,0.0957757511626879,-0.43054045175257044,-0.0550843598089632
4,-0.4898893222051068,0.17451574408236437,-0.8319539808497342,-0.1478246635604794
5,-0.609699039415759,0.13303584028750165,-0.8704598065014382,-0.34893827233007974
6,-0.653366080845212,0.20457723473792983,-1.0543536383578722,-0.25237852333255173
7,-0.7476195869331338,0.16160601431357136,-1.0643801543636617,-0.43085901950260574
8,-0.7125332173120095,0.2664877827070001,-1.2348703445663372,-0.1901960900576819
