rel_year,Estimate,Std. Error,2.5%,97.5%
-5,0.4016318646889269,0.1610090850714029,0.06679514224750055,0.7364685871303533
-4,0.1551253183839477,0.06992963868913014,0.009698673609228214,0.30055196315866717
-3,0.051914332007244546,0.12349250486783449,-0.20490239083600453,0.3087310548504936
-2,-0.04549529732907159,0.09398951689025212,-0.24095719791330605,0.14996660325516287
-1,0.0,0.0,0.0,0.0
0,-0.0786021712352073,0.19635212429437326,-0.4869387673594763,0.3297344248890617
1,-0.166383737531236,0.16355563738494427,-0.5065163054202263,0.17374883035775432
2,-0.2806822060926845,0.134189164323273,-0.5597438500318008,-0.0016205621535682613
3,-0.2373184577089362,0.1439327110909735,-0.5366429164029141,0.06200600098504164
4,-0.1543819602139411,0.17346496882988274,-0.5151221109678208,0.20635819053993862
5,-0.4899398612322398,0.20298162765658737,-0.9120632643322379,-0.06781645813224169
6,-0.4615364693604303,0.337553509822509,-1.163517421723741,0.2404444830028804
7,-0.5965267493436556,0.2851400738094758,-1.1895079945245142,-0.0035455041627969752
8,-0.4806771616408613,0.37108325249614615,-1.2523870310784244,0.2910327077967019
