rel_year,Estimate,Std. Error,2.5%,97.5%
-5,-0.05781858266385908,0.014673283970781282,-0.08657830410414838,-0.02905886122356978
-4,-0.011862992626213327,0.014418735990271362,-0.040123798552618266,0.016397813300191612
-3,-0.057290869279427774,0.009990783461720077,-0.07687286264243222,-0.03770887591642333
-2,0.02531576496363568,0.013980269746033088,-0.002085644588353478,0.05271717451562484
-1,0.0,0.0,0.0,0.0
0,0.015290548511534286,0.01443230141851248,-0.012996845732673923,0.0435779427557425
1,-0.06842638661501485,0.011831418182871381,-0.0916160346761119,-0.04523673855391779
2,-0.0013602998283878372,0.016177939034720076,-0.03306915389561806,0.030348554238842387
3,-0.08018168716279797,0.014330916812593327,-0.10827036699308394,-0.052093007332512
4,-0.05122956607179194,0.019652003716363133,-0.0897476070060219,-0.012711525137561977
5,-0.08546236587863955,0.019579632996072908,-0.12383855978257113,-0.047086171974707956
6,-0.01942136876470323,0.02421900607706726,-0.06689076073749697,0.028048023208090512
7,-0.05615339417613895,0.02425823552538855,-0.10369967609451156,-0.00860711225776635
8,-0.05760383315753809,0.05780988972109299,-0.17091155133318192,0.05570388501810576
