rel_year,Estimate,Std. Error,2.5%,97.5%
-5,-0.04887086524719201,0.00814892526011041,-0.06484280588332991,-0.032898924611054106
-4,-0.012215284041988746,0.007628104362339362,-0.02716641270651868,0.00273584462254119
-3,-0.02526482356068948,0.007749838378046505,-0.040454551600009464,-0.010075095521369495
-2,0.0241689001239493,0.008511445392154727,0.007486417932502272,0.040851382315396326
-1,0.0,0.0,0.0,0.0
0,0.02877267865560785,0.009857851151852367,0.009451233388709387,0.04809412392250631
1,-0.03533309354997068,0.008673873203151767,-0.052333935190313596,-0.018332251909627766
2,0.04247890071453198,0.012208686339632005,0.01854980488439204,0.06640799654467193
3,-0.016707213220066835,0.010034304840271789,-0.03637450873672257,0.0029600822965889055
4,0.024471135752144692,0.014355125676818927,-0.0036649935920265476,0.05260726509631593
5,0.005929265534226625,0.01363047137907733,-0.020786537195598646,0.0326450682640519
6,0.0891061915432916,0.019574456812829107,0.050740142988452405,0.1274722400981308
7,0.03169575682488045,0.01619173413591678,-4.013572047422559e-05,0.06343164937023513
8,0.08918784576638333,0.05267400526796349,-0.014053509179622004,0.19242920071238867
