rel_year,Estimate,Std. Error,2.5%,97.5%
-5,0.08113471421430467,0.04635480716036958,-0.009726716025799248,0.17199614445440858
-4,0.01488877783879631,0.06530603997944943,-0.11311952506108512,0.14289708073867774
-3,-0.0286665368219548,0.05150350039465925,-0.12962007314108173,0.07228699949717214
-2,-0.0763465640927037,0.0965068721810038,-0.26551254215466463,0.11281941396925725
-1,0.0,0.0,0.0,0.0
0,-0.1262534917169987,0.13327935066311217,-0.38749829381113743,0.13499131037714
1,-0.1975263856706795,0.07635867686811197,-0.3471992894425712,-0.0478534818987878
2,-0.407083798445186,0.17058080960996802,-0.7414442948453825,-0.07272330204498945
3,-0.364289685922591,0.12154140365848397,-0.6025265904920286,-0.12605278135315334
4,-0.6458444702468363,0.2094375152708849,-1.056369146093519,-0.23531979440015366
5,-0.8841167227973454,0.17223961246420014,-1.2217286877949727,-0.5465047577997182
6,-0.9364845086530564,0.24957590614826267,-1.425685633094112,-0.44728338421200087
7,-1.1416213352230307,0.2088151016925173,-1.550925999782951,-0.7323166706631103
8,-1.1093965565985173,0.32015153629869214,-1.7369350636842578,-0.481858049512777
