rel_year,Estimate,Std. Error,2.5%,97.5%
-5,-0.053269170460242786,0.017671483023371612,-0.08790537938259407,-0.01863296153789149
-4,0.036144581662387036,0.01971096236240893,-0.0024890185590583994,0.07477818188383248
-3,0.07279462034843241,0.017457596596075667,0.0385776300605149,0.10701161063634992
-2,0.0668407223432686,0.022040368104433924,0.023641473396190125,0.11003997129034707
-1,0.0,0.0,0.0,0.0
0,0.1980464786320638,0.026358517916210092,0.14638363108146782,0.24970932618265976
1,0.16596303259373707,0.021541903085065497,0.1237407779673104,0.20818528722016374
2,0.29729776760663507,0.029475185059339336,0.23952623443140406,0.3550693007818661
3,0.3053309450858969,0.0257334891798924,0.25489315747310815,0.3557687326986857
4,0.4283784952562139,0.03576380356942162,0.35828123343330215,0.49847575707912567
5,0.48293486450166573,0.033689237914906356,0.41690376335909374,0.5489659656442377
6,0.6313859230034383,0.044294132423879404,0.5445691672937599,0.7182026787131167
7,0.5256772944183273,0.04575915346742503,0.43598908899088745,0.6153654998457672
8,0.5630165703786093,0.24607337929603454,0.08071132388321356,1.045321816874005
