rel_year,Estimate,Std. Error,2.5%,97.5%
-5,0.48700736235574243,0.16428676153031047,0.14535433857183389,0.828660386139651
-4,0.2027742787321304,0.08723789841264891,0.02135313740823877,0.38419542005602203
-3,0.09213332288858844,0.1244909518623219,-0.16675978414762338,0.35102642992480027
-2,-0.01429932158357457,0.12918019768669273,-0.2829442491574794,0.2543456059903303
-1,0.0,0.0,0.0,0.0
0,-0.07299411278257589,0.23455866646127865,-0.5607855629563132,0.4147973373911614
1,-0.06056098650807364,0.11840949892622214,-0.3068070198223126,0.18568504680616532
2,-0.2842514396537665,0.15476867654660192,-0.6061105221302601,0.037607642822727105
3,-0.2389817922471756,0.1313102009137698,-0.5120563040214245,0.03409271952707335
4,-0.1567677698904569,0.22076188890212972,-0.6158672504395599,0.30233171065864617
5,-0.44091034238087123,0.17967236287276894,-0.8145594757260172,-0.0672612090357253
6,-0.4150411544953073,0.40197436187272667,-1.2509926026714044,0.4209102936807897
7,-0.5773091097697225,0.32400828518658487,-1.2511212254502189,0.09650300591077399
8,-0.5699143571984948,0.4258387054974223,-1.4554944247718478,0.315665710374858
